Date,TotalSales,Transactions,Items
2009-11-30,232177.51,512,138598
2009-12-07,207908.73,494,109630
2009-12-14,207685.87,441,125752
2009-12-21,35731.9,65,24680
2010-01-04,167636.95,192,95916
2010-01-11,125493.61,242,66849
2010-01-18,119473.351,254,128040
2010-01-25,143198.761,323,79277
2010-02-01,112299.692,270,62355
2010-02-08,80059.66,254,47981
2010-02-15,160506.402,280,173356
2010-02-22,151693.202,300,88169
2010-03-01,151813.96,351,99105
2010-03-08,118785.1,283,72381
2010-03-15,164459.771,324,150427
2010-03-22,172063.68,373,131206
2010-03-29,118502.62,267,65876
2010-04-05,124314.76,270,81776
2010-04-12,141539.381,292,81325
2010-04-19,138922.62,358,77984
2010-04-26,170900.751,375,98903
2010-05-03,149102.83,315,90396
2010-05-10,155673.54,344,104455
2010-05-17,138681.57,322,83128
2010-05-24,142033.27,356,100685
2010-05-31,90358.06,242,56473
2010-06-07,200239.71,441,119716
2010-06-14,126987.39,316,79408
2010-06-21,103924.84,287,59912
2010-06-28,170793.57,357,104481
2010-07-05,136775.12,311,71145
2010-07-12,144495.58,327,80832
2010-07-19,133616.0,309,79902
2010-07-26,149554.98,320,72337
2010-08-02,117866.37,284,72464
2010-08-09,139842.07,294,172881
2010-08-16,154786.91,316,105113
2010-08-23,136279.55,313,81344
2010-08-30,123619.55,267,81795
2010-09-06,119333.94,300,71856
2010-09-13,155778.921,360,99271
2010-09-20,223587.04,441,135203
2010-09-27,302392.66,514,231905
2010-10-04,243007.44,495,158435
2010-10-11,298614.04,531,168432
2010-10-18,220882.67,521,120627
2010-10-25,197721.45,447,107099
2010-11-01,262597.86,496,156057
2010-11-08,282707.701,620,154104
2010-11-15,261610.06100000002,609,147675
2010-11-22,246492.99,648,134148
2010-11-29,261679.38,616,144314
2010-12-06,212619.13,489,100859
2010-12-13,163116.12,401,96184
2010-12-20,46059.51,108,30775
2011-01-03,114636.8,224,70100
2011-01-10,154344.85,233,76828
2011-01-17,175452.23,206,131231
2011-01-24,104861.0,267,57897
2011-01-31,105955.81,272,65037
2011-02-07,87827.94,197,47440
2011-02-14,125700.15,267,76725
2011-02-21,130380.77,267,79855
2011-02-28,117386.82,267,65636
2011-03-07,112193.93000000001,269,63560
2011-03-14,137669.82,304,83202
2011-03-21,129560.72,299,72829
2011-03-28,143657.58,320,94667
2011-04-04,119697.73,295,63985
2011-04-11,134930.821,344,84187
2011-04-18,115969.40000000001,248,74047
2011-04-25,73374.06,193,49036
2011-05-02,131094.12,343,73587
2011-05-09,178574.32,387,101605
2011-05-16,195818.79,429,103758
2011-05-23,146776.61,327,79532
2011-05-30,102040.37,238,54460
2011-06-06,193704.12,373,92047
2011-06-13,171702.44,341,99089
2011-06-20,112600.67,304,70051
2011-06-27,116250.82,255,68459
2011-07-04,131222.52,310,79487
2011-07-11,118078.73,305,75102
2011-07-18,167284.44,325,101869
2011-07-25,164258.041,324,100378
2011-08-01,155943.0,302,99032
2011-08-08,143544.62,256,91242
2011-08-15,167634.4,309,98182
2011-08-22,147595.96,348,93168
2011-08-29,113825.97,254,69837
2011-09-05,166212.46,379,103322
2011-09-12,208718.88,347,115456
2011-09-19,309091.501,447,163414
2011-09-26,193654.431,427,115694
2011-10-03,296214.24,472,164835
2011-10-10,203708.95,429,111425
2011-10-17,254775.57,429,147103
2011-10-24,236456.84,502,144697
2011-10-31,259374.02,510,148219
2011-11-07,263717.33,608,156237
2011-11-14,276216.98,669,156749
2011-11-21,248234.58,594,141638
2011-11-28,250833.04,633,139896
2011-12-05,408044.97000000003,484,225123
