Model,MAE,RMSE,MAPE,R2
LightGBM (Optimized),2487.4098420737023,3908.8950310724954,8.23878618826643,0.933277536812062
Ensemble (XGB + LGB),2638.1101140250958,4027.6811109374366,8.68184751188618,0.9291607081565505
Prophet,11526.591909061306,20017.649811591684,32.59075099550374,0.1665896925417557
EMA (7),8721.517782015791,11000.69458670783,33.56819582715268,0.4715495530995343
Rolling Mean (7),9543.040207453418,11987.366692930835,36.2511818078674,0.37250302622972165
EMA (14),9709.824018536783,12299.618416236766,36.68403529079336,0.33938667309832116
EMA (30),10332.208277396036,13211.052646949782,37.34375398075345,0.23785272523617207
Rolling Mean (30),10610.46744057971,13676.490769853854,38.217255936288346,0.18320436544551666
Rolling Mean (14),10283.595562111805,12887.900782481729,38.47400616832879,0.2746820547886124
Persistence (Lag-1),14461.09454347826,18696.438495742455,52.059627138440035,-0.5264473347608591
