CustomerID,Recency,Frequency,Monetary,F_Score,R_Score,M_Score,RFM_Score,Segment,Churned_x,Churned_y,Churned,Cluster,Customer_Segment
12346,326,12,77556.46,5,2,5,4.0,Loyal Customers,1,1,1,0,Potential Loyalists
12347,2,8,4921.53,4,5,5,4.666666666666667,Champions,0,0,0,0,Potential Loyalists
12348,75,5,2019.4,4,3,4,3.6666666666666665,Potential Loyalists,0,0,0,0,Potential Loyalists
12349,19,4,4428.69,3,5,5,4.333333333333333,Loyal Customers,0,0,0,0,Potential Loyalists
12350,310,1,334.4,1,2,2,1.6666666666666667,Lost,1,1,1,1,Lost Customers
12351,375,1,300.93,1,2,2,1.6666666666666667,Lost,1,1,1,1,Lost Customers
12352,36,10,2849.84,5,4,4,4.333333333333333,Loyal Customers,0,0,0,0,Potential Loyalists
12353,204,2,406.76,2,2,2,2.0,Hibernating,1,1,1,0,Potential Loyalists
12354,232,1,1079.4,1,2,3,2.0,Hibernating,1,1,1,0,Potential Loyalists
12355,214,2,947.61,2,2,3,2.333333333333333,Hibernating,1,1,1,0,Potential Loyalists
12356,23,6,6371.73,4,4,5,4.333333333333333,Loyal Customers,0,0,0,0,Potential Loyalists
12357,33,3,18287.66,3,4,5,4.0,Loyal Customers,0,0,0,0,Potential Loyalists
12358,2,5,3887.07,4,5,5,4.666666666666667,Champions,0,0,0,0,Potential Loyalists
12359,58,10,8873.39,5,4,5,4.666666666666667,Champions,0,0,0,0,Potential Loyalists
12360,52,8,4252.89,4,4,5,4.333333333333333,Loyal Customers,0,0,0,0,Potential Loyalists
12361,287,4,511.25,3,2,2,2.333333333333333,Hibernating,1,1,1,1,Lost Customers
12362,3,11,5356.23,5,5,5,5.0,Champions,0,0,0,0,Potential Loyalists
12363,110,2,552.0,2,3,2,2.333333333333333,Hibernating,1,1,1,0,Potential Loyalists
12364,8,4,1313.1,3,5,4,4.0,Loyal Customers,0,0,0,0,Potential Loyalists
12365,291,2,641.38,2,2,3,2.333333333333333,Hibernating,1,1,1,1,Lost Customers
12366,634,1,500.24,1,1,2,1.3333333333333333,Lost,1,1,1,1,Lost Customers
12367,4,1,168.9,1,5,1,2.333333333333333,Hibernating,0,0,0,0,Potential Loyalists
12368,628,1,917.7,1,1,3,1.6666666666666667,Lost,1,1,1,1,Lost Customers
12369,413,3,1791.15,3,1,4,2.6666666666666665,Hibernating,1,1,1,1,Lost Customers
12370,51,7,4316.56,4,4,5,4.333333333333333,Loyal Customers,0,0,0,0,Potential Loyalists
12371,45,5,4067.38,4,4,5,4.333333333333333,Loyal Customers,0,0,0,0,Potential Loyalists
12372,72,3,1298.04,3,3,4,3.333333333333333,At Risk,0,0,0,0,Potential Loyalists
12373,311,3,1127.65,3,2,3,2.6666666666666665,Hibernating,1,1,1,1,Lost Customers
12374,25,4,2989.2200000000003,3,4,5,4.0,Loyal Customers,0,0,0,0,Potential Loyalists
12375,11,2,457.5,2,5,2,3.0,At Risk,0,0,0,0,Potential Loyalists
12376,390,2,503.15,2,2,2,2.0,Hibernating,1,1,1,1,Lost Customers
12377,315,4,3426.32,3,2,5,3.333333333333333,At Risk,1,1,1,1,Lost Customers
12378,130,2,5416.32,2,3,5,3.333333333333333,At Risk,1,1,1,0,Potential Loyalists
12379,82,4,1620.22,3,3,4,3.333333333333333,At Risk,0,0,0,0,Potential Loyalists
12380,22,11,9676.3,5,4,5,4.666666666666667,Champions,0,0,0,0,Potential Loyalists
12381,5,5,1845.31,4,5,4,4.333333333333333,Loyal Customers,0,0,0,0,Potential Loyalists
12383,185,5,1850.56,4,3,4,3.6666666666666665,Potential Loyalists,1,1,1,0,Potential Loyalists
12384,29,2,585.27,2,4,2,2.6666666666666665,Hibernating,0,0,0,0,Potential Loyalists
12385,379,1,1938.4,1,2,4,2.333333333333333,Hibernating,1,1,1,1,Lost Customers
12386,338,2,401.9,2,2,2,2.0,Hibernating,1,1,1,1,Lost Customers
12387,415,1,143.94,1,1,1,1.0,Lost,1,1,1,1,Lost Customers
12388,16,8,3901.11,4,5,5,4.666666666666667,Champions,0,0,0,0,Potential Loyalists
12389,403,3,1433.33,3,2,4,3.0,At Risk,1,1,1,1,Lost Customers
12390,80,1,549.84,1,3,2,2.0,Hibernating,0,0,0,0,Potential Loyalists
12391,22,6,2724.84,4,4,4,4.0,Loyal Customers,0,0,0,0,Potential Loyalists
12392,591,1,234.75000000000003,1,1,1,1.0,Lost,1,1,1,1,Lost Customers
12393,72,6,2399.4500000000003,4,3,4,3.6666666666666665,Potential Loyalists,0,0,0,0,Potential Loyalists
12394,64,2,1272.48,2,3,4,3.0,At Risk,0,0,0,0,Potential Loyalists
12395,19,15,4721.17,5,5,5,5.0,Champions,0,0,0,0,Potential Loyalists
12396,674,1,931.43,1,1,3,1.6666666666666667,Lost,1,1,1,1,Lost Customers
12397,36,2,2409.9,2,4,4,3.333333333333333,At Risk,0,0,0,0,Potential Loyalists
12398,46,1,1635.66,1,4,4,3.0,At Risk,0,0,0,0,Potential Loyalists
12399,119,7,1962.3,4,3,4,3.6666666666666665,Potential Loyalists,1,1,1,0,Potential Loyalists
