CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,TotalQuantity,CLV,ChurnRisk
12347,2,7,4054.4,22.5244444444444,101,2194,28380.8,Low
12348,75,4,1186.68,56.5085714285714,15,1468,4746.72,Medium
12349,19,1,1353.8,19.34,70,625,1353.8,Low
12350,310,1,294.4,18.4,16,196,294.4,Very High
12352,36,7,1385.74,17.9966233766234,57,526,9700.18,Medium
12353,204,1,89,22.25,4,20,89,Very High
12354,232,1,1013.6,18.7703703703704,54,526,1013.6,Very High
12355,214,1,459.4,35.3384615384615,13,240,459.4,Very High
12356,23,3,2487.43,42.886724137931,52,1573,7462.29,Low
12357,33,1,6063.07,47.367734375,128,2699,6063.07,Medium
12358,2,2,928.06,54.5917647058824,12,242,1856.12,Low
12359,58,4,4620.23,20.4434955752212,200,1575,18480.92,Medium
12360,52,3,1931.26,15.960826446281,101,1132,5793.78,Medium
12361,287,1,174.9,19.4333333333333,9,90,174.9,Very High
12362,3,10,4508.46,18.4018775510204,190,2098,45084.6,Low
12363,110,2,552,24,23,408,1104,High
12364,8,3,1143.3,14.29125,69,1319,3429.9,Low
12365,291,1,320.69,15.2709523809524,21,173,320.69,Very High
12367,4,1,138.3,15.3666666666667,9,112,138.3,Low
12370,51,4,3300.98,20.2514110429448,140,1773,13203.92,Medium
12371,60,1,1527.96,24.6445161290323,62,582,1527.96,Medium
12372,72,3,1196.04,24.4089795918367,33,788,3588.12,Medium
12373,311,1,324.6,24.9692307692308,13,196,324.6,Very High
12374,25,1,589.03,19.0009677419355,31,337,589.03,Low
12375,11,2,377.5,25.1666666666667,13,176,755,Low
12377,315,2,1543.08,20.5744,70,918,3086.16,Very High
12378,130,1,3824.54,18.0402830188679,212,2233,3824.54,High
12379,82,2,777.24,20.4536842105263,38,402,1554.48,Medium
12380,22,4,2278.11,23.0112121212121,75,1104,9112.44,Low
12381,5,3,1474.81,17.985487804878,69,797,4424.43,Low
12383,185,5,1564.72,17.0078260869565,82,1274,7823.6,Very High
12384,29,2,425.27,17.0108,25,122,850.54,Low
12386,338,2,401.9,40.19,10,354,803.8,Very High
12388,16,6,2762.42,27.9032323232323,57,1366,16574.52,Low
12390,80,1,470.94,16.2393103448276,29,348,470.94,Medium
12391,22,1,415.99,4.62211111111111,89,260,415.99,Low
12393,72,4,1582.6,24.728125,47,816,6330.4,Medium
12394,64,2,629.92,27.3878260869565,23,296,1259.84,Medium
12395,19,12,2633.56,18.6777304964539,87,2048,31602.72,Low
12397,36,2,2081.3,17.4899159663866,104,1242,4162.6,Medium
12398,46,1,1435.66,17.0911904761905,84,1389,1435.66,Medium
12399,119,4,1033.65,18.7936363636364,46,1173,4134.6,High
12401,303,1,69.3,17.325,4,10,69.3,Very High
12402,323,1,195.6,19.56,10,92,195.6,Very High
12403,50,1,391.7,97.925,4,94,391.7,Medium
12405,149,1,1390.39,26.2337735849057,53,849,1390.39,High
12406,22,2,3235.9,31.7245098039216,89,1806,6471.8,Low
12407,50,5,1417.2,20.2457142857143,55,1107,7086,Medium
12408,33,5,2511.09,25.8875257731959,76,1337,12555.45,Medium
12409,79,3,10588.59,102.801844660194,87,5359,31765.77,Medium
12410,309,2,533.33,21.3332,25,207,1066.66,Very High
12412,75,3,1142.88,19.7048275862069,42,824,3428.64,Medium
12413,67,3,656.15,18.7471428571429,27,281,1968.45,Medium
12414,217,3,434.85,31.0607142857143,14,261,1304.55,Very High
12415,25,15,65628.97,132.050241448692,336,29061,984434.55,Low
12417,3,9,2980.24,17.326976744186,149,1489,26822.16,Low
12418,113,1,668.58,19.6641176470588,34,407,668.58,High
12420,64,1,554.97,20.5544444444444,27,247,554.97,Medium
12421,16,4,639.04,15.5863414634146,31,478,2556.16,Low
12422,96,3,683.56,17.9884210526316,38,367,2050.68,High
12423,1,8,1600.41,13.9166086956522,94,1322,12803.28,Low
12424,163,2,1608.32,55.4593103448276,29,596,3216.64,High
12425,78,1,777.2,21.5888888888889,36,496,777.2,Medium
12426,195,1,491.28,18.1955555555556,27,228,491.28,Very High
12427,22,3,639.32,23.6785185185185,24,238,1917.96,Low
12428,26,8,6361.04,22.4771731448763,252,3435,50888.32,Low
12429,9,4,3268.8,35.1483870967742,80,1530,13075.2,Low
12430,43,1,216.4,21.64,10,116,216.4,Medium
12431,60,14,5070.16,22.2375438596491,161,2120,70982.24,Medium
12432,43,4,4089.52,38.9478095238095,104,1794,16358.08,Medium
12433,1,7,12680.35,31.3095061728395,213,9499,88762.45,Low
12434,85,2,806.14,16.1228,46,394,1612.28,Medium
12435,80,2,6044.05,201.468333333333,27,1455,12088.1,Medium
12436,100,1,429.01,28.6006666666667,15,209,429.01,High
12437,2,18,4442.37,24.2752459016393,116,2870,79962.66,Low
12438,14,2,2456.41,26.1320212765957,81,1085,4912.82,Low
12441,367,1,155.55,15.555,10,120,155.55,Very High
12442,3,1,144.06,13.0963636363636,11,181,144.06,Low
12444,21,5,3498.11,22.1399367088608,129,1097,17490.55,Low
12445,22,1,77.4,25.8,3,60,77.4,Low
12446,58,1,972.41,17.3644642857143,56,349,972.41,Medium
12447,243,1,431.49,17.2596,25,187,431.49,Very High
12448,44,1,295.89,15.5731578947368,19,215,295.89,Medium
12449,22,4,3591.97,19.3116666666667,116,1499,14367.88,Low
12450,156,2,197.88,24.735,7,128,395.76,High
12451,11,5,8589.33,25.5634821428571,250,6201,42946.65,Low
12452,17,1,348.57,17.4285,20,181,348.57,Low
12453,134,1,707.09,16.4439534883721,43,473,707.09,High
12454,56,1,2500.84,208.403333333333,12,508,2500.84,Medium
12455,73,5,2181.46,25.9697619047619,83,1796,10907.3,Medium
12456,44,3,2576.48,21.2932231404959,103,1594,7729.44,Medium
12457,66,6,1907.63,34.0648214285714,50,827,11445.78,Medium
12458,71,2,772.28,22.0651428571429,33,430,1544.56,Medium
12461,155,1,622.32,18.8581818181818,33,258,622.32,High
12462,19,2,937.59,15.6265,50,527,1875.18,Low
12463,53,4,1200.78,15.199746835443,64,768,4803.12,Medium
12464,10,7,212.5,19.3181818181818,3,46,1487.5,Low
12465,17,2,682.19,15.1597777777778,45,475,1364.38,Low
12468,188,2,657.54,18.265,35,362,1315.08,Very High
12471,2,27,17209.6,39.6534562211982,145,8021,464659.2,Low
12472,32,7,5997.43,18.1740303030303,216,4092,41982.01,Medium
12473,54,3,2465.57,16.3282781456954,129,2038,7396.71,Medium
12474,17,18,6555.14,16.5952911392405,244,4513,117992.52,Low
12475,54,1,665.38,19.57,34,432,665.38,Medium
12476,16,10,5246.57,24.4026511627907,172,2314,52465.7,Low
12477,23,6,13109.09,43.9902348993289,190,3646,78654.54,Low
12478,4,1,545.99,15.5997142857143,35,233,545.99,Low
12479,11,1,468.64,16.16,29,358,468.64,Low
12480,28,4,2566.33,17.3400675675676,127,1468,10265.32,Low
12481,23,10,4499.18,22.955,143,3134,44991.8,Low
12483,17,8,1901.86,28.3859701492537,44,1046,15214.88,Low
12484,35,4,3934.76,11.6758456973294,253,2142,15739.04,Medium
12488,10,3,1070.6,20.9921568627451,42,492,3211.8,Low
12489,336,1,267.03,20.5407692307692,13,101,267.03,Very High
12490,5,10,4850.81,20.8189270386266,130,2985,48508.1,Low
12491,39,1,424.4,16.976,24,258,424.4,Medium
12492,63,2,227.21,12.6227777777778,18,190,454.42,Medium
12493,166,2,362.79,19.0942105263158,17,203,725.58,High
12494,16,7,1084.1,15.269014084507,62,698,7588.7,Low
12497,82,1,690.6,86.325,8,606,690.6,Medium
12498,21,3,349.7,16.652380952381,20,156,1049.1,Low
12500,50,9,2072.03,54.5271052631579,31,770,18648.27,Medium
12501,337,1,1960.92,14.0065714285714,140,1534,1960.92,Very High
12502,96,5,2875.22,20.8349275362319,98,787,14376.1,High
12504,18,2,428.05,53.50625,5,87,856.1,Low
12506,233,1,73.5,3.19565217391304,23,23,73.5,Very High
