StockCode,Description,ABC_Class,XYZ_Class,ABC_XYZ,Daily_Demand,Avg_Price,Annual_Demand,EOQ,Safety_Stock,Reorder_Point,Max_Stock,Holding_Cost,Product_Lifespan_Days,DeadStock_Score,DeadStock_Risk,Days_Since_Last_Sale,Num_Transactions,Total_Revenue
22423,REGENCY CAKESTAND 3 TIER,A,Z,AZ,39.94039735099338,12.461649175412294,14578.245033112584,765.0,75.0,355.0,1120.0,2.492329835082459,634,15.8,Low,0,3317,277656.25
85123A,WHITE HANGING HEART T-LIGHT HOLDER,A,Z,AZ,151.91556291390728,2.870665869218501,55449.18046357616,3108.0,262.0,1325.0,4433.0,0.5741331738437002,738,21.1,Low,0,4888,247048.01
23843,"PAPER CRAFT , LITTLE BIRDIE",A,X,AX,134.0976821192053,2.08,48945.653973509936,3430.0,0.0,939.0,4369.0,0.41600000000000004,1,13.9,Low,0,1,168469.6
85099B,JUMBO BAG RED RETROSPOT,A,Z,AZ,122.88741721854305,1.9738697463082164,44853.90728476821,3371.0,273.0,1133.0,4504.0,0.39477394926164333,572,20.0,Low,0,2612,134307.44
84879,ASSORTED COLOUR BIRD ORNAMENT,A,Z,AZ,129.52649006622516,1.6761515601783061,47277.16887417219,3755.0,431.0,1338.0,5093.0,0.3352303120356612,739,25.5,Low,0,2652,124351.86
47566,PARTY BUNTING,A,Z,AZ,38.841059602649004,4.77291229742612,14176.986754966887,1219.0,88.0,360.0,1579.0,0.954582459485224,738,18.2,Low,0,2077,103283.38
23166,MEDIUM CERAMIC TOP STORAGE JAR,A,Z,AZ,129.0,1.2203030303030302,47085.0,4392.0,23019.0,23922.0,28314.0,0.24406060606060606,325,45.0,Medium,0,195,81416.73000000001
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,A,Z,AZ,46.98675496688742,2.9196085204375364,17150.165562913906,1714.0,211.0,540.0,2254.0,0.5839217040875073,739,27.0,Low,0,1691,76598.18000000001
79321,CHILLI LIGHTS,A,Z,AZ,24.57450331125828,5.146038961038961,8969.693708609271,934.0,161.0,333.0,1267.0,1.0292077922077922,738,27.8,Low,0,922,69084.3
85099F,JUMBO BAG STRAWBERRY,A,Z,AZ,59.341059602649004,1.9569180327868854,21659.486754966885,2352.0,233.0,648.0,3000.0,0.3913836065573771,738,22.9,Low,0,1514,64127.77
21137,BLACK RECORD COVER FRAME,A,Z,AZ,30.491721854304636,3.6303696857670977,11129.478476821192,1238.0,348.0,561.0,1799.0,0.7260739371534196,738,38.7,Medium,0,539,63092.12
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,A,Z,AZ,47.36092715231788,2.5669636363636363,17286.738410596026,1835.0,1888.0,2220.0,4055.0,0.5133927272727273,739,43.7,Medium,0,525,55880.17
82484,WOOD BLACK BOARD ANT WHITE FINISH,A,Z,AZ,16.02317880794702,6.962461832061068,5848.460264900662,648.0,161.0,273.0,921.0,1.3924923664122137,607,28.0,Low,0,1048,54525.36
21621,VINTAGE UNION JACK BUNTING,A,Z,AZ,10.756622516556291,8.499444933920705,3926.167218543046,481.0,75.0,150.0,631.0,1.6998889867841411,736,28.2,Low,2,1121,54432.62
15056N,EDWARDIAN PARASOL NATURAL,A,Z,AZ,18.125827814569536,5.787598152424943,6615.92715231788,756.0,177.0,304.0,1060.0,1.1575196304849886,738,34.6,Medium,0,863,54332.61
85099C,JUMBO  BAG BAROQUE BLACK WHITE,A,Z,AZ,47.84602649006622,1.9575478142076501,17463.79966887417,2112.0,170.0,505.0,2617.0,0.39150956284153005,738,21.3,Low,0,1449,52188.18
23084,RABBIT NIGHT LIGHT,A,Z,AZ,44.955298013245034,2.0127703523693805,16408.683774834437,2019.0,602.0,917.0,2936.0,0.40255407047387615,213,28.2,Low,0,801,51251.24
22470,HEART OF WICKER LARGE,A,Z,AZ,28.31788079470199,2.944598990465508,10336.026490066226,1325.0,187.0,385.0,1710.0,0.5889197980931016,596,28.2,Low,0,1743,49859.5
21733,RED HANGING HEART T-LIGHT HOLDER,A,Z,AZ,28.52317880794702,2.9157650602409637,10410.960264900663,1336.0,134.0,334.0,1670.0,0.5831530120481928,738,28.0,Low,0,1631,48850.6
21931,JUMBO STORAGE BAG SUKI,A,Z,AZ,42.996688741721854,1.9728645833333334,15693.791390728476,1994.0,115.0,416.0,2410.0,0.3945729166666667,739,20.0,Low,0,1714,47760.99
22189,CREAM HEART CARD HOLDER,A,Z,AZ,26.40066225165563,3.8781657848324516,9636.241721854305,1115.0,281.0,466.0,1581.0,0.7756331569664904,738,28.3,Low,0,1129,47414.200000000004
15056BL,EDWARDIAN PARASOL BLACK,A,Z,AZ,15.4817880794702,5.794080100125157,5650.852649006622,698.0,190.0,298.0,996.0,1.1588160200250315,738,36.9,Medium,0,788,45885.07
22178,VICTORIAN GLASS HANGING T-LIGHT,A,Z,AZ,61.730132450331126,1.3451874573960465,22531.498344370862,2894.0,257.0,689.0,3583.0,0.2690374914792093,739,23.8,Low,0,1442,45746.75
22112,CHOCOLATE HOT WATER BOTTLE,A,Z,AZ,16.397350993377483,4.878344733242134,5985.0331125827815,783.0,47.0,162.0,945.0,0.9756689466484268,739,19.0,Low,0,1447,45601.340000000004
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,A,Z,AZ,40.223509933774835,1.980715552927262,14681.581125827815,1925.0,125.0,407.0,2332.0,0.39614311058545243,679,21.6,Low,0,1680,45059.13
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,A,Z,AZ,27.266556291390728,2.9220930232558144,9952.293046357616,1305.0,102.0,293.0,1598.0,0.5844186046511629,447,20.2,Low,0,1233,44998.270000000004
21623,VINTAGE UNION JACK MEMOBOARD,A,Z,AZ,10.140728476821192,9.774549098196394,3701.365894039735,435.0,247.0,318.0,753.0,1.954909819639279,648,42.9,Medium,0,499,44785.83
21181,PLEASE ONE PERSON METAL SIGN,A,Z,AZ,37.05132450331126,2.0730530035335692,13523.733443708608,1806.0,140.0,399.0,2205.0,0.41461060070671385,679,21.9,Low,0,1399,44310.600000000006
22386,JUMBO BAG PINK POLKADOT,A,Z,AZ,39.026490066225165,2.0029119850187267,14244.668874172185,1886.0,231.0,504.0,2390.0,0.40058239700374537,443,24.4,Low,0,1055,43319.16
22469,HEART OF WICKER SMALL,A,Z,AZ,43.365894039735096,1.6381823174080175,15828.55132450331,2198.0,214.0,518.0,2716.0,0.3276364634816035,596,28.4,Low,0,1779,43316.54
21929,JUMBO BAG PINK VINTAGE PAISLEY,A,Z,AZ,39.913907284768214,1.9750485436893204,14568.576158940397,1920.0,173.0,452.0,2372.0,0.3950097087378641,739,22.0,Low,0,1228,43313.9
22138,BAKING SET 9 PIECE RETROSPOT ,A,Z,AZ,14.958609271523178,4.9517741015402175,5459.89238410596,743.0,63.0,168.0,911.0,0.9903548203080436,739,27.0,Low,0,1742,43070.91
21843,RED RETROSPOT CAKE STAND,A,Z,AZ,7.1158940397351,10.869421319796954,2597.301324503311,346.0,57.0,107.0,453.0,2.173884263959391,618,28.4,Low,0,984,42862.74
22111,SCOTTIE DOG HOT WATER BOTTLE,A,Z,AZ,15.052980132450331,4.893550577053632,5494.337748344371,749.0,70.0,175.0,924.0,0.9787101154107264,739,25.9,Low,0,1457,42463.200000000004
21754,HOME BUILDING BLOCK WORD,A,Z,AZ,11.971854304635762,5.963963282937365,4369.726821192054,605.0,17.0,101.0,706.0,1.192792656587473,738,15.2,Low,0,1831,42453.11
21731,RED TOADSTOOL LED NIGHT LIGHT,A,Z,AZ,44.870860927152314,1.6490377358490567,16377.864238410595,2228.0,265.0,579.0,2807.0,0.32980754716981137,739,26.0,Low,0,1043,41824.26
21175,GIN + TONIC DIET METAL SIGN,A,Z,AZ,32.70695364238411,2.259413027916965,11938.0380794702,1625.0,345.0,574.0,2199.0,0.45188260558339305,730,29.0,Low,8,1385,40940.78
22457,NATURAL SLATE HEART CHALKBOARD ,A,Z,AZ,23.48841059602649,2.9584354154032746,8573.269867549669,1204.0,85.0,249.0,1453.0,0.591687083080655,645,23.7,Low,0,1637,40276.170000000006
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,A,Z,AZ,24.221854304635762,2.9324567474048444,8840.976821192053,1228.0,134.0,304.0,1532.0,0.5864913494809689,698,24.7,Low,0,1144,40219.82
